ARRIVAL_DELAY,DELAY_LABEL
-23,ontime
-23,ontime
-23,ontime
-23,ontime
-23,ontime
-23,ontime
-23,ontime
-23,ontime
-23,ontime
-23,ontime
-23,ontime
-23,ontime
-23,ontime
-23,ontime
-23,ontime
-23,ontime
-23,ontime
-23,ontime
-23,ontime
-23,ontime
-23,ontime
-23,ontime
-23,ontime
-23,ontime
-23,ontime
-23,ontime
-23,ontime
-23,ontime
-24,ontime
-24,ontime
-24,ontime
-24,ontime
-24,ontime
-24,ontime
-24,ontime
-24,ontime
-24,ontime
-24,ontime
-24,ontime
-24,ontime
-24,ontime
-24,ontime
-24,ontime
-24,ontime
-24,ontime
-24,ontime
-24,ontime
-24,ontime
-24,ontime
-25,ontime
-25,ontime
-25,ontime
-25,ontime
-25,ontime
-25,ontime
-25,ontime
-25,ontime
-25,ontime
-25,ontime
-25,ontime
-25,ontime
-25,ontime
-25,ontime
-25,ontime
-25,ontime
-25,ontime
-25,ontime
-25,ontime
-25,ontime
-25,ontime
-25,ontime
-25,ontime
-25,ontime
-25,ontime
-26,ontime
-26,ontime
-26,ontime
-26,ontime
-26,ontime
-26,ontime
-26,ontime
-26,ontime
-26,ontime
-26,ontime
-26,ontime
-26,ontime
-26,ontime
-26,ontime
-26,ontime
-26,ontime
-26,ontime
-26,ontime
-26,ontime
-26,ontime
-26,ontime
-26,ontime
-26,ontime
-26,ontime
-26,ontime
-26,ontime
-26,ontime
-26,ontime
-27,ontime
-27,ontime
-27,ontime
-27,ontime
-27,ontime
-27,ontime
-27,ontime
-27,ontime
-27,ontime
-27,ontime
-27,ontime
-27,ontime
-27,ontime
-27,ontime
-27,ontime
-27,ontime
-27,ontime
-27,ontime
-27,ontime
-27,ontime
-28,ontime
-28,ontime
-28,ontime
-28,ontime
-28,ontime
-28,ontime
-28,ontime
-28,ontime
-28,ontime
-28,ontime
-28,ontime
-28,ontime
-29,ontime
-29,ontime
-29,ontime
-29,ontime
-29,ontime
-29,ontime
-29,ontime
-29,ontime
-29,ontime
-29,ontime
-29,ontime
-29,ontime
-29,ontime
-29,ontime
-29,ontime
-30,ontime
-30,ontime
-30,ontime
-30,ontime
-30,ontime
-30,ontime
-30,ontime
-30,ontime
-30,ontime
-30,ontime
-30,ontime
-31,ontime
-31,ontime
-31,ontime
-31,ontime
-31,ontime
-31,ontime
-31,ontime
-31,ontime
-31,ontime
-31,ontime
-31,ontime
-31,ontime
-31,ontime
-31,ontime
-32,ontime
-32,ontime
-32,ontime
-32,ontime
-32,ontime
-32,ontime
-32,ontime
-32,ontime
-32,ontime
-33,ontime
-33,ontime
-33,ontime
-33,ontime
-33,ontime
-33,ontime
-33,ontime
-33,ontime
-33,ontime
-34,ontime
-34,ontime
-34,ontime
-34,ontime
-34,ontime
-34,ontime
-34,ontime
-34,ontime
-35,ontime
-35,ontime
-35,ontime
-35,ontime
-35,ontime
-35,ontime
-36,ontime
-36,ontime
-37,ontime
-37,ontime
-37,ontime
-37,ontime
-37,ontime
-38,ontime
-38,ontime
-38,ontime
-38,ontime
-39,ontime
-39,ontime
-40,ontime
-40,ontime
-40,ontime
-41,ontime
-41,ontime
-41,ontime
-42,ontime
-42,ontime
-44,ontime
-45,ontime
-48,ontime
-49,ontime
-51,ontime
-54,ontime
-87,ontime
